ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Otuke-124_hedgehog-1,,Otuke,124_hedgehog,kuricuri,kuricuri,k u r i tʃ u r i,,de1912linguistique;monfort1913linguistique,,,,,HEDGEHOG,312,330
Bororo-125_heel-1,,Bororo,125_heel,bureado,bureado,b u r e a d o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FOOT,65,183
Otuke-125_heel-1,,Otuke,125_heel,iwiaroto,iwiaroto,i w ia r o t o,,de1912linguistique;monfort1913linguistique,,,,,FOOT,65,183
Umutina-125_heel-1,,Umutina,125_heel,ambure jatabu,ambure jatabu,a m b u r e + dʒ a t a b u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FOOT ?,65,183 410
Bororo-126_hole-1,,Bororo,126_hole,poro,poro,p o r o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HOLE,5,184
Umutina-126_hole-1,,Umutina,126_hole,podo,podo,p o d o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HOLE,5,184
Bororo-129_hornanatomy-1,,Bororo,129_hornanatomy,kiga,kiga,k i g a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HORN,110,185
Otuke-129_hornanatomy-1,,Otuke,129_hornanatomy,ukikʷa,ukikʷa,u k i kʷ a,,de1912linguistique;monfort1913linguistique,,,,,HORN,110,185
Bororo-130_hornedscreamersp-1,,Bororo,130_hornedscreamersp,tamigi,tamigi,t a m i g i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HORNED_SCREAMER,169,186
Umutina-130_hornedscreamersp-1,,Umutina,130_hornedscreamersp,tami,tami,t a m i,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HORNED_SCREAMER,169,186
Bororo-131_house-1,,Bororo,131_house,iwaj / baj,baj,b a j,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HOUSE,97,187
Otuke-131_house-1,,Otuke,131_house,hwalʔa,hwalʔa,hʷ a l ʔ a,,de1912linguistique;monfort1913linguistique,,,,,HOUSE,214,188
Umutina-131_house-1,,Umutina,131_house,xipa,xipa,tʃ i p a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HOUSE,388,411
Bororo-132_howlermonkey-1,,Bororo,132_howlermonkey,pai,pai,p ai,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HOWLER_MONKEY,6,189
Umutina-132_howlermonkey-1,,Umutina,132_howlermonkey,epaʒʲo,epaʒʲo,e p a ʒʲ o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HOWLER_MONKEY,6,189
Otuke-132_howlermonkey-1,,Otuke,132_howlermonkey,kucaku,kucaku,k u tʃ a k u,,de1912linguistique;monfort1913linguistique,,,,,HOWLER_MONKEY,351,372
Bororo-133_i-1,,Bororo,133_i,imi,imi,i m i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,I,85,189
